192	131	109	0.44006692	0.30026128	0.24983957
一下	0	1	0	0.00000160	0.00019113	0.00002296
惹	0	1	0	0.00000160	0.00019113	0.00002296
厦新	1	1	0	0.00016118	0.00019113	0.00002296
爱好	3	0	0	0.00048033	0.00000189	0.00002296
购买	5	2	1	0.00079949	0.00038036	0.00231928
德	0	1	0	0.00000160	0.00019113	0.00002296
1/4	0	2	0	0.00000160	0.00038036	0.00002296
只有	1	2	0	0.00016118	0.00038036	0.00002296
分成	0	0	1	0.00000160	0.00000189	0.00231928
誉为	1	0	0	0.00016118	0.00000189	0.00002296
微	2	3	0	0.00032075	0.00056959	0.00002296
终于	1	1	0	0.00016118	0.00019113	0.00002296
举动	1	1	0	0.00016118	0.00019113	0.00002296
经历	2	0	0	0.00032075	0.00000189	0.00002296
不同	3	1	0	0.00048033	0.00019113	0.00002296
106%	1	0	0	0.00016118	0.00000189	0.00002296
奔跑	0	1	0	0.00000160	0.00019113	0.00002296
12月	1	2	0	0.00016118	0.00038036	0.00002296
原有	1	1	0	0.00016118	0.00019113	0.00002296
然而	1	1	0	0.00016118	0.00019113	0.00002296
势力	0	1	0	0.00000160	0.00019113	0.00002296
含量	0	1	0	0.00000160	0.00019113	0.00002296
电器	1	0	0	0.00016118	0.00000189	0.00002296
标牌	1	0	0	0.00016118	0.00000189	0.00002296
连接	3	2	0	0.00048033	0.00038036	0.00002296
不但	0	2	0	0.00000160	0.00038036	0.00002296
届	3	0	0	0.00048033	0.00000189	0.00002296
涨幅	1	1	0	0.00016118	0.00019113	0.00002296
努力	1	0	0	0.00016118	0.00000189	0.00002296
最新型	1	0	0	0.00016118	0.00000189	0.00002296
局	1	4	0	0.00016118	0.00075883	0.00002296
粤	2	0	0	0.00032075	0.00000189	0.00002296
习惯	0	2	0	0.00000160	0.00038036	0.00002296
飞利浦	2	4	0	0.00032075	0.00075883	0.00002296
宣传	17	2	0	0.00271444	0.00038036	0.00002296
半	1	0	0	0.00016118	0.00000189	0.00002296
特点	1	1	0	0.00016118	0.00019113	0.00002296
现有	1	2	0	0.00016118	0.00038036	0.00002296
期间	0	2	1	0.00000160	0.00038036	0.00231928
差距	0	1	0	0.00000160	0.00019113	0.00002296
高清晰度	3	1	0	0.00048033	0.00019113	0.00002296
drocerrbk	0	1	0	0.00000160	0.00019113	0.00002296
夸大	0	1	0	0.00000160	0.00019113	0.00002296
学习	3	0	0	0.00048033	0.00000189	0.00002296
偶尔	0	1	0	0.00000160	0.00019113	0.00002296
只能	1	3	0	0.00016118	0.00056959	0.00002296
独一无二	4	0	0	0.00063991	0.00000189	0.00002296
环境	3	0	0	0.00048033	0.00000189	0.00002296
改革	2	1	0	0.00032075	0.00019113	0.00002296
天生	0	1	0	0.00000160	0.00019113	0.00002296
有限	1	0	0	0.00016118	0.00000189	0.00002296
尚	0	1	1	0.00000160	0.00019113	0.00231928
重	0	0	1	0.00000160	0.00000189	0.00231928
1200	0	0	1	0.00000160	0.00000189	0.00231928
用武之地	0	1	0	0.00000160	0.00019113	0.00002296
大厅	1	0	0	0.00016118	0.00000189	0.00002296
少	2	4	0	0.00032075	0.00075883	0.00002296
结果	0	4	0	0.00000160	0.00075883	0.00002296
新年	0	0	1	0.00000160	0.00000189	0.00231928
gif	0	1	0	0.00000160	0.00019113	0.00002296
小	3	2	0	0.00048033	0.00038036	0.00002296
反派	0	1	0	0.00000160	0.00019113	0.00002296
将	18	28	0	0.00287402	0.00530043	0.00002296
景观	1	0	0	0.00016118	0.00000189	0.00002296
ＸＰ	1	3	0	0.00016118	0.00056959	0.00002296
华语	0	2	0	0.00000160	0.00038036	0.00002296
所以	5	5	0	0.00079949	0.00094806	0.00002296
就	17	28	0	0.00271444	0.00530043	0.00002296
编码	1	0	0	0.00016118	0.00000189	0.00002296
案子	1	0	0	0.00016118	0.00000189	0.00002296
商场	1	0	0	0.00016118	0.00000189	0.00002296
性能	12	1	0	0.00191655	0.00019113	0.00002296
烈焰	1	0	0	0.00016118	0.00000189	0.00002296
国家标准	0	0	1	0.00000160	0.00000189	0.00231928
IT	1	0	0	0.00016118	0.00000189	0.00002296
如果	4	6	0	0.00063991	0.00113729	0.00002296
烂	0	3	0	0.00000160	0.00056959	0.00002296
生不逢时	0	1	0	0.00000160	0.00019113	0.00002296
用	10	6	0	0.00159739	0.00113729	0.00002296
创作	2	0	0	0.00032075	0.00000189	0.00002296
瞩目	1	0	0	0.00016118	0.00000189	0.00002296
况且	0	0	1	0.00000160	0.00000189	0.00231928
内容	1	2	1	0.00016118	0.00038036	0.00231928
恐怕	1	0	0	0.00016118	0.00000189	0.00002296
以上	0	2	1	0.00000160	0.00038036	0.00231928
抗衡	0	1	0	0.00000160	0.00019113	0.00002296
Ｚｏｎｅ	1	0	0	0.00016118	0.00000189	0.00002296
坏蛋	1	0	0	0.00016118	0.00000189	0.00002296
的	351	319	0	0.05601390	0.06036734	0.00002296
１０月	0	0	1	0.00000160	0.00000189	0.00231928
大局	1	2	0	0.00016118	0.00038036	0.00002296
工程师	0	2	1	0.00000160	0.00038036	0.00231928
米左右	1	0	0	0.00016118	0.00000189	0.00002296
拜托	0	1	0	0.00000160	0.00019113	0.00002296
19日	1	0	0	0.00016118	0.00000189	0.00002296
人士	2	4	0	0.00032075	0.00075883	0.00002296
居安思危	1	0	0	0.00016118	0.00000189	0.00002296
只是	2	1	1	0.00032075	0.00019113	0.00231928
可是	1	0	0	0.00016118	0.00000189	0.00002296
感染	0	4	0	0.00000160	0.00075883	0.00002296
陈	1	0	0	0.00016118	0.00000189	0.00002296
贤	0	0	1	0.00000160	0.00000189	0.00231928
标志	2	0	1	0.00032075	0.00000189	0.00231928
查询	1	0	0	0.00016118	0.00000189	0.00002296
投资者	0	2	0	0.00000160	0.00038036	0.00002296
独立软件	1	0	0	0.00016118	0.00000189	0.00002296
发放	0	1	0	0.00000160	0.00019113	0.00002296
附	0	0	1	0.00000160	0.00000189	0.00231928
到位	0	1	0	0.00000160	0.00019113	0.00002296
鲜花	0	1	0	0.00000160	0.00019113	0.00002296
情节	2	2	0	0.00032075	0.00038036	0.00002296
骨干网络	1	0	0	0.00016118	0.00000189	0.00002296
软件	13	4	0	0.00207613	0.00075883	0.00002296
多任务	2	2	0	0.00032075	0.00038036	0.00002296
陵	1	0	0	0.00016118	0.00000189	0.00002296
投	1	0	0	0.00016118	0.00000189	0.00002296
接口	0	0	1	0.00000160	0.00000189	0.00231928
因特网	2	5	0	0.00032075	0.00094806	0.00002296
空调	0	5	0	0.00000160	0.00094806	0.00002296
卢梭	1	0	0	0.00016118	0.00000189	0.00002296
交换	0	1	0	0.00000160	0.00019113	0.00002296
主义	1	0	0	0.00016118	0.00000189	0.00002296
今天	1	1	1	0.00016118	0.00019113	0.00231928
揭秘	0	0	1	0.00000160	0.00000189	0.00231928
肯定	2	0	0	0.00032075	0.00000189	0.00002296
阜	6	3	0	0.00095907	0.00056959	0.00002296
甭管	0	0	1	0.00000160	0.00000189	0.00231928
压力	0	2	0	0.00000160	0.00038036	0.00002296
伟大	1	0	0	0.00016118	0.00000189	0.00002296
18％	0	1	0	0.00000160	0.00019113	0.00002296
合作伙伴	0	0	1	0.00000160	0.00000189	0.00231928
日经	0	0	1	0.00000160	0.00000189	0.00231928
78％	0	1	0	0.00000160	0.00019113	0.00002296
松下	0	1	0	0.00000160	0.00019113	0.00002296
样品	0	1	0	0.00000160	0.00019113	0.00002296
当作	0	2	1	0.00000160	0.00038036	0.00231928
总经理	0	0	1	0.00000160	0.00000189	0.00231928
拓展	1	0	0	0.00016118	0.00000189	0.00002296
维护	2	0	0	0.00032075	0.00000189	0.00002296
全新	3	0	0	0.00048033	0.00000189	0.00002296
推行	0	1	0	0.00000160	0.00019113	0.00002296
物业	2	0	0	0.00032075	0.00000189	0.00002296
牛	2	3	0	0.00032075	0.00056959	0.00002296
解释	2	4	0	0.00032075	0.00075883	0.00002296
0.27	1	0	0	0.00016118	0.00000189	0.00002296
版	0	0	1	0.00000160	0.00000189	0.00231928
恢复	1	0	0	0.00016118	0.00000189	0.00002296
变化	1	0	0	0.00016118	0.00000189	0.00002296
销售商	0	1	1	0.00000160	0.00019113	0.00231928
片	3	8	0	0.00048033	0.00151576	0.00002296
集团	1	0	1	0.00016118	0.00000189	0.00231928
非常明显	1	0	0	0.00016118	0.00000189	0.00002296
大棒	3	1	0	0.00048033	0.00019113	0.00002296
倒是	0	1	0	0.00000160	0.00019113	0.00002296
到点	1	0	0	0.00016118	0.00000189	0.00002296
4EVD	0	1	0	0.00000160	0.00019113	0.00002296
24％	0	1	0	0.00000160	0.00019113	0.00002296
零	1	0	0	0.00016118	0.00000189	0.00002296
闭幕	1	0	0	0.00016118	0.00000189	0.00002296
雨	1	0	0	0.00016118	0.00000189	0.00002296
伦敦	0	0	1	0.00000160	0.00000189	0.00231928
夏威夷	2	1	0	0.00032075	0.00019113	0.00002296
具有	8	1	0	0.00127823	0.00019113	0.00002296
漏洞	0	1	0	0.00000160	0.00019113	0.00002296
农历	1	0	0	0.00016118	0.00000189	0.00002296
模式	1	1	0	0.00016118	0.00019113	0.00002296
产品成本	0	1	0	0.00000160	0.00019113	0.00002296
十足	1	0	0	0.00016118	0.00000189	0.00002296
脚踏	0	1	0	0.00000160	0.00019113	0.00002296
露	0	1	0	0.00000160	0.00019113	0.00002296
难	3	1	1	0.00048033	0.00019113	0.00231928
进程	1	0	0	0.00016118	0.00000189	0.00002296
称作	0	0	1	0.00000160	0.00000189	0.00231928
【	0	0	1	0.00000160	0.00000189	0.00231928
】	0	0	1	0.00000160	0.00000189	0.00231928
还要	0	2	0	0.00000160	0.00038036	0.00002296
至少	1	2	0	0.00016118	0.00038036	0.00002296
《	12	14	0	0.00191655	0.00265116	0.00002296
》	12	14	0	0.00191655	0.00265116	0.00002296
、	112	55	0	0.01787447	0.01040973	0.00002296
。	10	2	0	0.00159739	0.00038036	0.00002296
除此之外	0	1	0	0.00000160	0.00019113	0.00002296
非	0	4	0	0.00000160	0.00075883	0.00002296
差	0	2	0	0.00000160	0.00038036	0.00002296
居住	3	0	0	0.00048033	0.00000189	0.00002296
中共中央政治局	2	0	0	0.00032075	0.00000189	0.00002296
家具	3	8	0	0.00048033	0.00151576	0.00002296
其次	1	0	0	0.00016118	0.00000189	0.00002296
操作计算机	1	0	0	0.00016118	0.00000189	0.00002296
情景	0	1	0	0.00000160	0.00019113	0.00002296
命题	0	1	0	0.00000160	0.00019113	0.00002296
感到	0	1	0	0.00000160	0.00019113	0.00002296
即将	1	0	0	0.00016118	0.00000189	0.00002296
非常	4	3	0	0.00063991	0.00056959	0.00002296
bmp	0	1	0	0.00000160	0.00019113	0.00002296
性	3	0	0	0.00048033	0.00000189	0.00002296
步步	0	1	0	0.00000160	0.00019113	0.00002296
往往	0	1	0	0.00000160	0.00019113	0.00002296
正在	9	0	0	0.00143781	0.00000189	0.00002296
图书	0	1	0	0.00000160	0.00019113	0.00002296
真真正正	1	0	0	0.00016118	0.00000189	0.00002296
依然	0	2	0	0.00000160	0.00038036	0.00002296
通道	1	0	0	0.00016118	0.00000189	0.00002296
打开	0	2	0	0.00000160	0.00038036	0.00002296
犏	0	2	1	0.00000160	0.00038036	0.00231928
霎时间	0	1	0	0.00000160	0.00019113	0.00002296
升值	0	1	0	0.00000160	0.00019113	0.00002296
我国	2	4	0	0.00032075	0.00075883	0.00002296
科幻	1	0	0	0.00016118	0.00000189	0.00002296
杀手	0	1	0	0.00000160	0.00019113	0.00002296
霍	1	0	0	0.00016118	0.00000189	0.00002296
需	2	1	0	0.00032075	0.00019113	0.00002296
剑	0	1	0	0.00000160	0.00019113	0.00002296
专利	7	12	0	0.00111865	0.00227269	0.00002296
环绕立体声	1	0	0	0.00016118	0.00000189	0.00002296
转卖	0	1	0	0.00000160	0.00019113	0.00002296
犯	0	1	0	0.00000160	0.00019113	0.00002296
前	0	5	0	0.00000160	0.00094806	0.00002296
熊猫	0	1	0	0.00000160	0.00019113	0.00002296
15	0	1	0	0.00000160	0.00019113	0.00002296
研发	5	1	0	0.00079949	0.00019113	0.00002296
３１日	0	0	1	0.00000160	0.00000189	0.00231928
55	0	1	0	0.00000160	0.00019113	0.00002296
65	1	0	0	0.00016118	0.00000189	0.00002296
同等	1	0	0	0.00016118	0.00000189	0.00002296
蜕	0	0	1	0.00000160	0.00000189	0.00231928
要么	0	1	1	0.00000160	0.00019113	0.00231928
股东	2	0	0	0.00032075	0.00000189	0.00002296
澳大利亚	1	0	0	0.00016118	0.00000189	0.00002296
不再	1	1	0	0.00016118	0.00019113	0.00002296
manager	1	0	0	0.00016118	0.00000189	0.00002296
供应商	3	0	0	0.00048033	0.00000189	0.00002296
89.96%	1	0	0	0.00016118	0.00000189	0.00002296
正式	1	0	0	0.00016118	0.00000189	0.00002296
剧	1	0	0	0.00016118	0.00000189	0.00002296
质量	3	4	0	0.00048033	0.00075883	0.00002296
刚	0	2	0	0.00000160	0.00038036	0.00002296
关键	1	1	0	0.00016118	0.00019113	0.00002296
鸽	1	0	0	0.00016118	0.00000189	0.00002296
论述	1	0	0	0.00016118	0.00000189	0.00002296
Blogs	2	0	0	0.00032075	0.00000189	0.00002296
属于	1	2	0	0.00016118	0.00038036	0.00002296
发布会	0	0	1	0.00000160	0.00000189	0.00231928
冲浪	2	0	0	0.00032075	0.00000189	0.00002296
分	0	1	0	0.00000160	0.00019113	0.00002296
猛	1	0	0	0.00016118	0.00000189	0.00002296
油漆	0	1	0	0.00000160	0.00019113	0.00002296
东风	1	0	0	0.00016118	0.00000189	0.00002296
到	14	9	0	0.00223570	0.00170499	0.00002296
再次	2	0	0	0.00032075	0.00000189	0.00002296
来自	1	1	0	0.00016118	0.00019113	0.00002296
工作方式	1	0	0	0.00016118	0.00000189	0.00002296
制	0	3	0	0.00000160	0.00056959	0.00002296
去年	1	2	1	0.00016118	0.00038036	0.00231928
名词	0	2	1	0.00000160	0.00038036	0.00231928
别	0	4	0	0.00000160	0.00075883	0.00002296
环境温度	0	2	1	0.00000160	0.00038036	0.00231928
路线	1	0	0	0.00016118	0.00000189	0.00002296
句	0	1	0	0.00000160	0.00019113	0.00002296
处理器共享	1	0	0	0.00016118	0.00000189	0.00002296
迄今	0	1	0	0.00000160	0.00019113	0.00002296
自然	1	1	0	0.00016118	0.00019113	0.00002296
一番	1	0	0	0.00016118	0.00000189	0.00002296
其实	1	2	0	0.00016118	0.00038036	0.00002296
02日	1	0	0	0.00016118	0.00000189	0.00002296
唠叨	0	1	0	0.00000160	0.00019113	0.00002296
小于	0	1	0	0.00000160	0.00019113	0.00002296
20.05%	1	0	0	0.00016118	0.00000189	0.00002296
方面	1	8	0	0.00016118	0.00151576	0.00002296
厂商	7	12	0	0.00111865	0.00227269	0.00002296
春节	1	0	0	0.00016118	0.00000189	0.00002296
推荐	2	0	0	0.00032075	0.00000189	0.00002296
第一	0	0	1	0.00000160	0.00000189	0.00231928
应当	0	2	0	0.00000160	0.00038036	0.00002296
之前	0	1	0	0.00000160	0.00019113	0.00002296
力	2	0	0	0.00032075	0.00000189	0.00002296
缴纳	1	3	0	0.00016118	0.00056959	0.00002296
熟悉	0	1	0	0.00000160	0.00019113	0.00002296
办	2	0	0	0.00032075	0.00000189	0.00002296
收藏	0	1	0	0.00000160	0.00019113	0.00002296
环球	0	1	0	0.00000160	0.00019113	0.00002296
考虑	1	0	0	0.00016118	0.00000189	0.00002296
存储容量	1	0	0	0.00016118	0.00000189	0.00002296
源头	0	1	0	0.00000160	0.00019113	0.00002296
rtf	0	1	0	0.00000160	0.00019113	0.00002296
三中全会	2	0	0	0.00032075	0.00000189	0.00002296
同样	0	2	0	0.00000160	0.00038036	0.00002296
降低	1	0	0	0.00016118	0.00000189	0.00002296
豪杰	1	0	0	0.00016118	0.00000189	0.00002296
若干	0	0	1	0.00000160	0.00000189	0.00231928
知识	16	14	0	0.00255486	0.00265116	0.00002296
难关	1	0	0	0.00016118	0.00000189	0.00002296
另	1	2	0	0.00016118	0.00038036	0.00002296
明渠	1	0	0	0.00016118	0.00000189	0.00002296
王	0	0	1	0.00000160	0.00000189	0.00231928
胜利	1	0	0	0.00016118	0.00000189	0.00002296
无本之木	0	1	0	0.00000160	0.00019113	0.00002296
独家	1	0	0	0.00016118	0.00000189	0.00002296
快捷	1	0	0	0.00016118	0.00000189	0.00002296
关注	1	0	0	0.00016118	0.00000189	0.00002296
率	1	1	0	0.00016118	0.00019113	0.00002296
虽然	5	3	0	0.00079949	0.00056959	0.00002296
限于	0	1	0	0.00000160	0.00019113	0.00002296
博	6	1	0	0.00095907	0.00019113	0.00002296
卜	0	1	0	0.00000160	0.00019113	0.00002296
同步	1	0	0	0.00016118	0.00000189	0.00002296
单	1	1	0	0.00016118	0.00019113	0.00002296
玩	3	1	0	0.00048033	0.00019113	0.00002296
手臂	0	0	1	0.00000160	0.00000189	0.00231928
找到	0	1	0	0.00000160	0.00019113	0.00002296
华	3	0	0	0.00048033	0.00000189	0.00002296
碟机	4	6	0	0.00063991	0.00113729	0.00002296
十	2	0	0	0.00032075	0.00000189	0.00002296
千	3	1	1	0.00048033	0.00019113	0.00231928
选取	2	0	0	0.00032075	0.00000189	0.00002296
升	0	0	1	0.00000160	0.00000189	0.00231928
影像	0	1	0	0.00000160	0.00019113	0.00002296
CF	0	0	1	0.00000160	0.00000189	0.00231928
普通人	1	0	0	0.00016118	0.00000189	0.00002296
却	2	3	0	0.00032075	0.00056959	0.00002296
财政	0	1	0	0.00000160	0.00019113	0.00002296
空前	1	0	0	0.00016118	0.00000189	0.00002296
占	0	1	0	0.00000160	0.00019113	0.00002296
卡	1	0	1	0.00016118	0.00000189	0.00231928
卧	2	0	1	0.00032075	0.00000189	0.00231928
似的	0	1	0	0.00000160	0.00019113	0.00002296
市民	1	0	0	0.00016118	0.00000189	0.00002296
化	3	0	1	0.00048033	0.00000189	0.00231928
２００２年	0	0	1	0.00000160	0.00000189	0.00231928
给	4	5	0	0.00063991	0.00094806	0.00002296
看望	2	0	0	0.00032075	0.00000189	0.00002296
颜色	1	0	0	0.00016118	0.00000189	0.00002296
酷酷	0	1	0	0.00000160	0.00019113	0.00002296
银	1	0	0	0.00016118	0.00000189	0.00002296
包	0	0	1	0.00000160	0.00000189	0.00231928
QICQ	0	1	0	0.00000160	0.00019113	0.00002296
经济学	1	0	0	0.00016118	0.00000189	0.00002296
杏	0	0	1	0.00000160	0.00000189	0.00231928
个体	1	0	0	0.00016118	0.00000189	0.00002296
犹疑	0	1	0	0.00000160	0.00019113	0.00002296
匪	1	1	0	0.00016118	0.00019113	0.00002296
销售	2	2	1	0.00032075	0.00038036	0.00231928
属	0	1	0	0.00000160	0.00019113	0.00002296
业内	1	0	0	0.00016118	0.00000189	0.00002296
张朝阳	1	1	0	0.00016118	0.00019113	0.00002296
周期	1	0	0	0.00016118	0.00000189	0.00002296
欧式	1	0	0	0.00016118	0.00000189	0.00002296
变	2	4	0	0.00032075	0.00075883	0.00002296
焦点	2	1	0	0.00032075	0.00019113	0.00002296
钌	0	0	1	0.00000160	0.00000189	0.00231928
移动	2	0	0	0.00032075	0.00000189	0.00002296
发	1	1	0	0.00016118	0.00019113	0.00002296
全国	4	0	0	0.00063991	0.00000189	0.00002296
噪音	0	1	0	0.00000160	0.00019113	0.00002296
研制	2	0	0	0.00032075	0.00000189	0.00002296
取	0	1	0	0.00000160	0.00019113	0.00002296
秒	2	0	0	0.00032075	0.00000189	0.00002296
又	3	5	0	0.00048033	0.00094806	0.00002296
及	3	3	0	0.00048033	0.00056959	0.00002296
友	0	0	1	0.00000160	0.00000189	0.00231928
双	1	0	0	0.00016118	0.00000189	0.00002296
反	0	1	0	0.00000160	0.00019113	0.00002296
跟踪	0	0	1	0.00000160	0.00000189	0.00231928
认识	0	2	0	0.00000160	0.00038036	0.00002296
百姓	1	0	0	0.00016118	0.00000189	0.00002296
消费者	7	5	1	0.00111865	0.00094806	0.00231928
不久前	2	1	0	0.00032075	0.00019113	0.00002296
能够	5	2	0	0.00079949	0.00038036	0.00002296
Trojan	0	1	0	0.00000160	0.00019113	0.00002296
集	2	0	1	0.00032075	0.00000189	0.00231928
便利	1	0	0	0.00016118	0.00000189	0.00002296
台	2	4	1	0.00032075	0.00075883	0.00231928
基础设施	1	0	0	0.00016118	0.00000189	0.00002296
原版	1	0	0	0.00016118	0.00000189	0.00002296
元旦	0	0	1	0.00000160	0.00000189	0.00231928
咨询	0	0	1	0.00000160	0.00000189	0.00231928
初期	1	0	0	0.00016118	0.00000189	0.00002296
只	10	6	0	0.00159739	0.00113729	0.00002296
帝	0	1	0	0.00000160	0.00019113	0.00002296
可	6	9	0	0.00095907	0.00170499	0.00002296
官司	0	1	0	0.00000160	0.00019113	0.00002296
说明	2	0	0	0.00032075	0.00000189	0.00002296
连续	1	0	0	0.00016118	0.00000189	0.00002296
2005	1	0	0	0.00016118	0.00000189	0.00002296
长时间	0	1	0	0.00000160	0.00019113	0.00002296
原	0	1	0	0.00000160	0.00019113	0.00002296
这么	0	1	0	0.00000160	0.00019113	0.00002296
色情	0	3	0	0.00000160	0.00056959	0.00002296
影响力	0	1	0	0.00000160	0.00019113	0.00002296
——	5	2	0	0.00079949	0.00038036	0.00002296
压	0	1	0	0.00000160	0.00019113	0.00002296
长	1	4	0	0.00016118	0.00075883	0.00002296
换句话说	0	0	1	0.00000160	0.00000189	0.00231928
立体声耳机	1	0	0	0.00016118	0.00000189	0.00002296
烧	1	0	0	0.00016118	0.00000189	0.00002296
08月	1	0	0	0.00016118	0.00000189	0.00002296
空穴来风	0	1	0	0.00000160	0.00019113	0.00002296
家用	0	1	0	0.00000160	0.00019113	0.00002296
去	0	2	0	0.00000160	0.00038036	0.00002296
方面均	0	1	0	0.00000160	0.00019113	0.00002296
日本	0	3	0	0.00000160	0.00056959	0.00002296
木	0	2	0	0.00000160	0.00038036	0.00002296
觉得	0	1	0	0.00000160	0.00019113	0.00002296
外	0	0	1	0.00000160	0.00000189	0.00231928
环顾	0	0	1	0.00000160	0.00000189	0.00231928
上网	1	1	1	0.00016118	0.00019113	0.00231928
总部	0	0	1	0.00000160	0.00000189	0.00231928
演员	0	1	0	0.00000160	0.00019113	0.00002296
点	1	2	0	0.00016118	0.00038036	0.00002296
仍然	1	2	0	0.00016118	0.00038036	0.00002296
锋	0	1	0	0.00000160	0.00019113	0.00002296
做	6	5	1	0.00095907	0.00094806	0.00231928
激光	1	0	0	0.00016118	0.00000189	0.00002296
更胜一筹	1	0	0	0.00016118	0.00000189	0.00002296
BT	0	0	1	0.00000160	0.00000189	0.00231928
自己	6	8	0	0.00095907	0.00151576	0.00002296
分身术	0	0	1	0.00000160	0.00000189	0.00231928
假	1	0	0	0.00016118	0.00000189	0.00002296
票房	0	1	0	0.00000160	0.00019113	0.00002296
碟片	4	1	1	0.00063991	0.00019113	0.00231928
寻找	2	0	0	0.00032075	0.00000189	0.00002296
这个	4	9	0	0.00063991	0.00170499	0.00002296
游戏	2	2	0	0.00032075	0.00038036	0.00002296
没	5	1	0	0.00079949	0.00019113	0.00002296
打造	2	1	0	0.00032075	0.00019113	0.00002296
总监	1	1	0	0.00016118	0.00019113	0.00002296
措施	1	0	0	0.00016118	0.00000189	0.00002296
体内	0	1	0	0.00000160	0.00019113	0.00002296
病毒	2	20	0	0.00032075	0.00378656	0.00002296
交流方式	1	0	0	0.00016118	0.00000189	0.00002296
播出	1	0	0	0.00016118	0.00000189	0.00002296
过去	4	2	0	0.00063991	0.00038036	0.00002296
差异	0	0	1	0.00000160	0.00000189	0.00231928
职员	1	7	0	0.00016118	0.00132653	0.00002296
凭证	1	0	0	0.00016118	0.00000189	0.00002296
倍	4	3	0	0.00063991	0.00056959	0.00002296
远程	1	0	0	0.00016118	0.00000189	0.00002296
间	3	2	0	0.00048033	0.00038036	0.00002296
看看	1	2	0	0.00016118	0.00038036	0.00002296
照	0	1	0	0.00000160	0.00019113	0.00002296
6％	0	1	0	0.00000160	0.00019113	0.00002296
闪	4	2	0	0.00063991	0.00038036	0.00002296
成熟	0	1	0	0.00000160	0.00019113	0.00002296
ＶＩＰ	0	1	0	0.00000160	0.00019113	0.00002296
前途	1	1	0	0.00016118	0.00019113	0.00002296
采取	1	1	0	0.00016118	0.00019113	0.00002296
18.50%	1	0	0	0.00016118	0.00000189	0.00002296
神	1	2	0	0.00016118	0.00038036	0.00002296
过程	0	1	1	0.00000160	0.00019113	0.00231928
奉献	1	0	0	0.00016118	0.00000189	0.00002296
表示	6	8	1	0.00095907	0.00151576	0.00231928
国贸	1	0	0	0.00016118	0.00000189	0.00002296
产品	10	4	0	0.00159739	0.00075883	0.00002296
授权	4	2	0	0.00063991	0.00038036	0.00002296
程序	3	2	0	0.00048033	0.00038036	0.00002296
作品	1	0	0	0.00016118	0.00000189	0.00002296
吸引	1	0	1	0.00016118	0.00000189	0.00231928
来势汹汹	0	0	1	0.00000160	0.00000189	0.00231928
绝大部分	0	1	0	0.00000160	0.00019113	0.00002296
背光	1	0	0	0.00016118	0.00000189	0.00002296
租用	0	1	0	0.00000160	0.00019113	0.00002296
短信业务	1	0	0	0.00016118	0.00000189	0.00002296
快速	2	2	0	0.00032075	0.00038036	0.00002296
欧	0	1	0	0.00000160	0.00019113	0.00002296
语音	3	0	0	0.00048033	0.00000189	0.00002296
如何	2	0	0	0.00032075	0.00000189	0.00002296
关键问题	0	0	1	0.00000160	0.00000189	0.00231928
家务	2	0	0	0.00032075	0.00000189	0.00002296
阿猫阿狗	0	1	0	0.00000160	0.00019113	0.00002296
股份	3	0	0	0.00048033	0.00000189	0.00002296
10	1	1	1	0.00016118	0.00019113	0.00231928
20	3	1	0	0.00048033	0.00019113	0.00002296
30	3	0	0	0.00048033	0.00000189	0.00002296
含有	0	1	0	0.00000160	0.00019113	0.00002296
50	0	0	1	0.00000160	0.00000189	0.00231928
告一段落	1	0	0	0.00016118	0.00000189	0.00002296
不可避免	0	1	0	0.00000160	0.00019113	0.00002296
承担	1	1	0	0.00016118	0.00019113	0.00002296
1600	1	0	0	0.00016118	0.00000189	0.00002296
支出	0	3	0	0.00000160	0.00056959	0.00002296
视频	4	1	0	0.00063991	0.00019113	0.00002296
类别	0	1	0	0.00000160	0.00019113	0.00002296
判断	0	1	0	0.00000160	0.00019113	0.00002296
乐金	1	0	0	0.00016118	0.00000189	0.00002296
看好	2	1	0	0.00032075	0.00019113	0.00002296
出让	0	1	0	0.00000160	0.00019113	0.00002296
杀死	1	0	0	0.00016118	0.00000189	0.00002296
电脑硬件	1	0	0	0.00016118	0.00000189	0.00002296
全球	5	1	0	0.00079949	0.00019113	0.00002296
介绍	1	3	0	0.00016118	0.00056959	0.00002296
放心	1	1	0	0.00016118	0.00019113	0.00002296
大幸	1	0	0	0.00016118	0.00000189	0.00002296
其中	3	1	0	0.00048033	0.00019113	0.00002296
唇枪舌剑	1	0	0	0.00016118	0.00000189	0.00002296
标准化	1	0	0	0.00016118	0.00000189	0.00002296
物质文明	1	0	0	0.00016118	0.00000189	0.00002296
李长春	8	1	0	0.00127823	0.00019113	0.00002296
厂家	1	1	0	0.00016118	0.00019113	0.00002296
鸭绿江	1	0	0	0.00016118	0.00000189	0.00002296
党	4	0	0	0.00063991	0.00000189	0.00002296
ＷＩＮＤＯＷＳＮＴ	0	1	0	0.00000160	0.00019113	0.00002296
各种	3	0	0	0.00048033	0.00000189	0.00002296
全世界	0	0	1	0.00000160	0.00000189	0.00231928
帝王	0	1	0	0.00000160	0.00019113	0.00002296
终端	0	0	1	0.00000160	0.00000189	0.00231928
带来	2	3	0	0.00032075	0.00056959	0.00002296
例子	1	0	0	0.00016118	0.00000189	0.00002296
技术规范	1	0	0	0.00016118	0.00000189	0.00002296
联欢	1	0	0	0.00016118	0.00000189	0.00002296
